Country,Latitude,Longitude,Country_Index,OECD,Child_marriage_Law,Child_marriage_Practice,Household_responsibilities_Law,Divorce_Law,Violence_against_women_Law,Female_genital_mutilation_Law,Reproductive_autonomy_Law,Secure_access_to_land_assets_Law,Access_to_non-land_assets_Law,Secure_access_to_formal_financial services_Law,Workplace_rights_Law,Citizenship_rights_Law,Political_voice_Law,Political_voice_Practice,Freedom_of_movement_Law,Access_to_justice_Law
Ireland,53.41291,-8.24389,16,1,0.5,0,0.5,0,0.25,0,0.75,0,0,0,1,0,0,22.2,0,0
Israel,31.046051,34.851612,17,1,0.5,1,0.5,0.75,0.75,1,0.25,0.25,0.25,0,1,0.5,0.25,27.5,0,0.75
Italy,41.87194,12.56738,18,1,0.5,0,0.5,0,0.75,0.25,0,0,0,0.25,0,0,0,31,0,0
Japan,36.204824,138.252924,19,1,0.5,1,0.25,0.25,0.75,1,0.5,0.25,0,0.25,1,0,0.5,10.1,0,0
South Korea,35.907757,127.766922,20,1,0.5,0,0.5,0,0.25,1,0.5,0.25,0.25,0,1,0.25,0.25,17,0,0
Latvia,56.879635,24.603189,21,1,0.5,1,0.5,0,0.75,1,0,0,0,0.25,0,0,0.5,16,0,0
Lithuania,55.169438,23.881275,22,1,0.5,0,0.5,0.25,0.5,1,0,0,0,0,0.25,0,0.5,21.3,0,0
Luxembourg,49.815273,6.129583,23,1,0.5,1,0.5,0,0.75,1,0,0,0,0,0,0,0,28.3,0,0
Mexico,23.634501,-102.552784,24,1,0.75,1,0.5,1,0.5,1,0.5,0.25,0.25,0,0,0,0.25,42.6,0,0.25
Netherlands,52.132633,5.291266,25,1,0.25,0,0.5,0.25,0.75,0.25,0,0,0,0,0,0,0.5,36,0,0
New Zealand,-40.900557,174.885971,26,1,0.5,1,0.5,0,0.75,0,0.25,0,0,0,0.25,0,0.5,38.3,0,0
Norway,60.472024,8.468946,27,1,0.5,0,0.5,0.25,0.25,0.25,0,0,0,0,0,0,0.5,41.4,0,0
Poland,51.919438,19.145136,28,1,0.5,1,0.5,0,0.75,1,0.5,0,0,0,1,0,0,28,0,0
Portugal,39.399872,-8.224454,29,1,0.5,0,0.5,0,0.25,0.25,0,0,0,0,0,0,0,34.8,0,0
Slovakia,48.669026,19.699024,30,1,0.75,1,0.5,0,0.25,1,0,0,0,0,0.25,0,0.5,20,0,0.25
Slovenia,46.151241,14.995463,31,1,0.5,0,0.5,0,0.25,1,0,0.25,0,0,0,0,0,36.7,0,0
Spain,40.463667,-3.74922,32,1,0.5,1,0.5,0,0.5,0.25,0,0.25,0,0,0,0,0,39.1,0,0
Sweden,60.128161,18.643501,33,1,0,0,0.5,0,0.25,0,0,0,0,0,0,0,0.5,43.6,0,0
Switzerland,46.818188,8.227512,34,1,0,1,0,0,0.75,0.25,0,0,0,0,0.75,0,0,32.5,0,0
Turkey,38.963745,35.243322,35,1,0.5,1,0.5,0.25,0.25,1,0,0.25,0.25,0.25,1,0,0.5,14.6,0,0
United Kingdom,55.378051,-3.435973,36,1,0.5,1,0.5,0,0.75,0,0.75,0.25,0,0,0,0,0,32,0,0
United States,37.09024,-95.712891,37,1,0.75,1,0.5,0,0.5,0,0,0,0,0,0.75,0,0.5,19.4,0,0
Afghanistan,33.93911,67.709953,38,0,1,1,0.75,1,0.75,1,0.75,0.25,0.25,0.25,1,0,0.25,27.7,0.75,0.75
Albania,41.153332,20.168331,39,0,0.5,1,0.5,0.25,0.5,1,0,0.25,0,0.25,1,0,0,27.9,0,0
Algeria,28.033886,1.659626,40,0,0.5,1,0.75,1,0.5,1,0.75,0.25,0.25,0.25,1,1,0.25,25.8,0.75,0.75
Angola,-11.202692,17.873887,41,0,0.5,1,0.5,0.5,0.75,1,0,0.5,0.5,0.25,1,0,0.25,30.5,0,0.25
Antigua and Barbuda,17.060816,-61.796428,42,0,0.5,1,0.5,0,0.75,1,0.75,0.25,0.75,0.25,0,0,0.5,11.1,0,0
Argentina,-38.416097,-63.616672,43,0,0.5,1,0.5,0,0.75,1,0.5,0.25,0,0,1,0,0,38.9,0,0
Armenia,40.069099,45.038189,44,0,0.5,1,0.5,0.25,0.75,1,0,0.25,0,0.25,0.75,0,0.25,18.1,0,0.25
Azerbaijan,40.143105,47.576927,45,0,0.5,1,0.5,0.25,0.75,1,0,0,0,0.25,1,0,0.25,16.8,0,0.25
Bahamas,25.03428,-77.39628,46,0,0.5,1,0.5,0,0.5,1,0.25,0,0,0,0.75,0.75,0.5,12.8,0,0
Bahrain,25.930414,50.637772,47,0,1,1,1,1,0.75,1,0,0.25,0.25,0.25,1,0.75,0.5,7.5,0.75,0.75
Bangladesh,23.684994,90.356331,48,0,0.5,1,0.75,1,0.75,1,0.75,0.5,0.5,0.25,1,0.75,0.25,20.3,0,0.75
Barbados,13.193887,-59.543198,49,0,0.5,0,0.5,0,0.75,1,0.25,0,0,0.25,1,0.75,0.5,16.7,0.75,0
Belarus,53.709807,27.953389,50,0,0.5,1,0.75,0,0.75,1,0,0,0,0,1,0,0.5,34.5,0,0.25
Belize,17.189877,-88.49765,51,0,0.5,1,0.5,0,0.75,1,0.75,0,0,0,1,0,0.5,9.4,0.75,0
Benin,9.30769,2.315834,52,0,0.5,1,0.5,0.25,0.5,0.25,0.5,0.25,0.25,0.25,1,0.75,0.5,7.2,0.75,0.25
Bhutan,27.514162,90.433601,53,0,0.25,1,0.5,0.75,0.5,1,0.5,0.25,0,0,1,0,0.5,8.5,0,0
Bolivia,-16.290154,-63.588653,54,0,0.5,1,0.5,0,0.25,1,0.25,0.25,0.25,0,1,0,0.25,53.1,0,0.25
Bosnia and Herzegovina,43.915886,17.679076,55,0,0.5,0,0.5,0,0.5,1,0,0.25,0.25,0,1,0,0.25,21.4,0,0.25
Botswana,-22.328474,24.684866,56,0,0.5,1,0.5,0.5,0.75,0,0.25,0.5,0.5,0.25,0.75,0.25,0.5,9.5,0.75,0.75
Brazil,-14.235004,-51.92528,57,0,0.75,1,0.5,0,0.25,1,0.5,0.25,0.25,0,0.25,0,0.25,10.7,0,0
Brunei,4.535277,114.727669,58,0,0.5,1,0.75,1,0.75,1,0.75,0,0,0,0.75,1,0.5,9.1,0.75,0.75
Bulgaria,42.733883,25.48583,59,0,0.5,1,0.5,0.25,0.75,1,0,0.25,0.25,0.25,1,0,0.5,23.8,0,0
Burkina Faso,12.238333,-1.561593,60,0,1,1,0.5,0.25,0.75,0.25,0.5,0.25,0.25,0.25,1,0,0,11,0,0
Burundi,-3.373056,29.918886,61,0,0.5,1,0.75,0.25,0.5,0,0.75,0.25,0.25,0.25,1,1,0,36.4,0,0.25
Cambodia,12.565679,104.990963,62,0,0.5,1,0.5,0.25,0.5,1,0,0.25,0.25,0.25,0.75,0.25,0.5,20.3,0.25,0.75
Cameroon,7.369722,12.354722,63,0,1,1,0.75,0.25,0.75,0.5,0.5,1,1,0.25,1,0.75,0.25,31.1,0.75,0.25
Cabo Verde,16.5388,-23.0418,64,0,0.5,1,0.25,0.75,0.5,1,0,0,0,0.25,0.25,0,0.25,23.6,0,0.25
Central African Republic,6.611111,20.939444,65,0,0.5,1,1,0.25,0.25,0.25,0.25,0.25,0.25,0,1,1,0.5,8.6,0,0.25
Chad,15.454166,18.732207,66,0,0.5,1,0.75,0.5,0.75,0.25,0.25,0.5,0.5,1,1,0,0.25,12.8,0,0.75
China,35.86166,104.195397,67,0,0.25,1,0.5,0,0.75,1,0,0,0,0,1,0,0,24.2,0,0
Comoros,-11.875001,43.872219,68,0,0.5,1,1,0.75,0.75,1,0.75,0.5,0.5,0.25,0.75,1,0.5,6.1,0,0.25
Congo [Republic],-0.228021,15.827659,69,0,0.5,1,0.75,0.25,0.75,1,1,1,1,0.25,1,1,0.25,11.3,0.75,0.25
Congo [DRC],-4.038333,21.758664,70,0,0.25,1,0.75,0.75,0.75,0.25,0.75,0.5,0.5,0.25,1,0,0.25,8.9,0,0.25
Côte d'Ivoire,7.539989,-5.54708,71,0,0.5,1,0.5,0,0.75,0.25,0.75,1,1,0.25,1,0,0.25,10.6,0,0.25
Croatia,45.1,15.2,72,0,0.5,1,0.5,0,0.25,0,0,0.25,0.25,0,1,0,0,18.5,0,0.25
Cuba,21.521757,-77.781167,73,0,0.5,1,0.5,0.25,0.75,1,0,0.25,0,0,0,0,0.5,48.9,0,0
Cyprus,35.126413,33.429859,74,0,0.5,1,0.75,0.5,0.25,0.75,0.25,0,0,0,1,0,0.5,17.9,0.75,0
Djibouti,11.825138,42.590275,75,0,0.5,1,0.75,0.75,0.5,0.25,0.75,0.25,0.25,0.25,1,0.25,0.25,10.8,0,0.75
Dominica,15.414999,-61.370976,76,0,0.5,0,0.75,0,0.75,1,0.75,0.25,0.75,0.25,1,0.25,0.5,25,0.75,0
Dominican Republic,18.735693,-70.162651,77,0,0.5,1,0.5,0.25,0.25,1,0.75,0,0,0,0.75,0,0,26.8,0,0
Ecuador,-1.831239,-78.183406,78,0,0.5,1,0.5,0.25,0.5,1,0.5,0.25,0.75,0,1,0,0.25,38,0,0
Egypt,26.820553,30.802498,79,0,0.25,1,0.75,1,0.75,0.25,0.75,0.75,0.75,0.25,1,1,0.25,14.9,0.75,0.75
El Salvador,13.794185,-88.89653,80,0,0.25,1,0.5,0,0.5,1,1,0.25,0.25,0,0.25,0,0.25,32.1,0,0.25
Equatorial Guinea,1.650801,10.267895,81,0,0.5,1,1,0.75,1,1,0.75,1,1,0.25,1,0,0.5,20,0,0
Eritrea,15.179384,39.782334,82,0,0.5,1,0.5,0.25,0.75,0.75,0.5,0.25,0.25,0.25,0.75,0.25,0.25,22,0,0.75
Ethiopia,9.145,40.489673,83,0,0.5,1,0.5,0.25,0.5,0.25,0.25,0.25,0.25,0.25,1,0,0.5,38.8,0,0.25
Fiji,-16.578193,179.414413,84,0,0.25,1,0.5,0,0.75,1,0.25,0.25,0,0.25,1,0,0.5,16,0.75,0.25
Macedonia [FYROM],41.608635,21.745275,85,0,0.5,1,0.5,0,0.75,1,0,0.25,0,0,0,0,0.25,37.5,0,0.25
Gabon,-0.803689,11.609444,86,0,1,1,0.75,0.25,0.75,0.75,1,0.25,0.25,1,1,0,0,17.1,0.75,0.25
Gambia,13.443182,-15.310139,87,0,0.5,1,1,1,0.5,0.25,0.75,0.5,0.5,0,1,0,0.5,10.3,0.75,0.75
